word,polarity
able,0.2
abundance,0.2
abundant,0.2
acclaimed,0.2
accomplish,0.2
accomplished,0.2
accomplishes,0.2
accomplishing,0.2
accomplishment,0.2
accomplishments,0.2
achieve,0.2
achieved,0.2
achievement,0.2
achievements,0.2
achieves,0.2
achieving,0.2
adequately,0.2
advancement,0.2
advancements,0.2
advances,0.2
advancing,0.2
advantage,0.2
advantaged,0.2
advantageous,0.2
advantageously,0.2
advantages,0.2
alliance,0.2
alliances,0.2
assure,0.2
assured,0.2
assures,0.2
assuring,0.2
attain,0.2
attained,0.2
attaining,0.2
attainment,0.2
attainments,0.2
attains,0.2
attractive,0.2
attractiveness,0.2
beautiful,0.2
beautifully,0.2
beneficial,0.2
beneficially,0.2
benefit,0.2
benefited,0.2
benefiting,0.2
benefitted,0.2
benefitting,0.2
best,0.2
better,0.2
bolstered,0.2
bolstering,0.2
bolsters,0.2
boom,0.2
booming,0.2
boost,0.2
boosted,0.2
breakthrough,0.2
breakthroughs,0.2
brilliant,0.2
charitable,0.2
collaborate,0.2
collaborated,0.2
collaborates,0.2
collaborating,0.2
collaboration,0.2
collaborations,0.2
collaborative,0.2
collaborator,0.2
collaborators,0.2
compliment,0.2
complimentary,0.2
complimented,0.2
complimenting,0.2
compliments,0.2
conclusive,0.2
conclusively,0.2
conducive,0.2
confident,0.2
constructive,0.2
constructively,0.2
courteous,0.2
creative,0.2
creatively,0.2
creativeness,0.2
creativity,0.2
delight,0.2
delighted,0.2
delightful,0.2
delightfully,0.2
delighting,0.2
delights,0.2
dependability,0.2
dependable,0.2
desirable,0.2
desired,0.2
despite,0.2
destined,0.2
diligent,0.2
diligently,0.2
distinction,0.2
distinctions,0.2
distinctive,0.2
distinctively,0.2
distinctiveness,0.2
dream,0.2
easier,0.2
easily,0.2
easy,0.2
effective,0.2
efficiencies,0.2
efficiency,0.2
efficient,0.2
efficiently,0.2
empower,0.2
empowered,0.2
empowering,0.2
empowers,0.2
enable,0.2
enabled,0.2
enables,0.2
enabling,0.2
encouraged,0.2
encouragement,0.2
encourages,0.2
encouraging,0.2
enhance,0.2
enhanced,0.2
enhancement,0.2
enhancements,0.2
enhances,0.2
enhancing,0.2
enjoy,0.2
enjoyable,0.2
enjoyably,0.2
enjoyed,0.2
enjoying,0.2
enjoyment,0.2
enjoys,0.2
enthusiasm,0.2
enthusiastic,0.2
enthusiastically,0.2
excellence,0.2
excellent,0.2
excelling,0.2
excels,0.2
exceptional,0.2
exceptionally,0.2
excited,0.2
excitement,0.2
exciting,0.2
exclusive,0.2
exclusively,0.2
exclusiveness,0.2
exclusives,0.2
exclusivity,0.2
exemplary,0.2
fantastic,0.2
favorable,0.2
favorably,0.2
favored,0.2
favoring,0.2
favorite,0.2
favorites,0.2
friendly,0.2
gain,0.2
gained,0.2
gaining,0.2
gains,0.2
good,0.2
great,0.2
greater,0.2
greatest,0.2
greatly,0.2
greatness,0.2
happiest,0.2
happily,0.2
happiness,0.2
happy,0.2
highest,0.2
honor,0.2
honorable,0.2
honored,0.2
honoring,0.2
honors,0.2
ideal,0.2
impress,0.2
impressed,0.2
impresses,0.2
impressing,0.2
impressive,0.2
impressively,0.2
improve,0.2
improved,0.2
improvement,0.2
improvements,0.2
improves,0.2
improving,0.2
incredible,0.2
incredibly,0.2
influential,0.2
informative,0.2
ingenuity,0.2
innovate,0.2
innovated,0.2
innovates,0.2
innovating,0.2
innovation,0.2
innovations,0.2
innovative,0.2
innovativeness,0.2
innovator,0.2
innovators,0.2
insightful,0.2
inspiration,0.2
inspirational,0.2
integrity,0.2
invent,0.2
invented,0.2
inventing,0.2
invention,0.2
inventions,0.2
inventive,0.2
inventiveness,0.2
inventor,0.2
inventors,0.2
leadership,0.2
leading,0.2
loyal,0.2
lucrative,0.2
meritorious,0.2
opportunities,0.2
opportunity,0.2
optimistic,0.2
outperform,0.2
outperformed,0.2
outperforming,0.2
outperforms,0.2
perfect,0.2
perfected,0.2
perfectly,0.2
perfects,0.2
pleasant,0.2
pleasantly,0.2
pleased,0.2
pleasure,0.2
plentiful,0.2
popular,0.2
popularity,0.2
positive,0.2
positively,0.2
preeminence,0.2
preeminent,0.2
premier,0.2
premiere,0.2
prestige,0.2
prestigious,0.2
proactive,0.2
proactively,0.2
proficiency,0.2
proficient,0.2
proficiently,0.2
profitability,0.2
profitable,0.2
profitably,0.2
progress,0.2
progressed,0.2
progresses,0.2
progressing,0.2
prospered,0.2
prospering,0.2
prosperity,0.2
prosperous,0.2
prospers,0.2
rebound,0.2
rebounded,0.2
rebounding,0.2
receptive,0.2
regain,0.2
regained,0.2
regaining,0.2
resolve,0.2
revolutionize,0.2
revolutionized,0.2
revolutionizes,0.2
revolutionizing,0.2
reward,0.2
rewarded,0.2
rewarding,0.2
rewards,0.2
satisfaction,0.2
satisfactorily,0.2
satisfactory,0.2
satisfied,0.2
satisfies,0.2
satisfy,0.2
satisfying,0.2
smooth,0.2
smoothing,0.2
smoothly,0.2
smooths,0.2
solves,0.2
solving,0.2
spectacular,0.2
spectacularly,0.2
stability,0.2
stabilization,0.2
stabilizations,0.2
stabilize,0.2
stabilized,0.2
stabilizes,0.2
stabilizing,0.2
stable,0.2
strength,0.2
strengthen,0.2
strengthened,0.2
strengthening,0.2
strengthens,0.2
strengths,0.2
strong,0.2
stronger,0.2
strongest,0.2
succeed,0.2
succeeded,0.2
succeeding,0.2
succeeds,0.2
success,0.2
successes,0.2
successful,0.2
successfully,0.2
superior,0.2
surpass,0.2
surpassed,0.2
surpasses,0.2
surpassing,0.2
transparency,0.2
tremendous,0.2
tremendously,0.2
unmatched,0.2
unparalleled,0.2
unsurpassed,0.2
upturn,0.2
upturns,0.2
valuable,0.2
versatile,0.2
versatility,0.2
vibrancy,0.2
vibrant,0.2
win,0.2
winner,0.2
winners,0.2
winning,0.2
worthy,0.2
abandon,-0.2
abandoned,-0.2
abandoning,-0.2
abandonment,-0.2
abandonments,-0.2
abandons,-0.2
abdicated,-0.2
abdicates,-0.2
abdicating,-0.2
abdication,-0.2
abdications,-0.2
aberrant,-0.2
aberration,-0.2
aberrational,-0.2
aberrations,-0.2
abetting,-0.2
abnormal,-0.2
abnormalities,-0.2
abnormality,-0.2
abnormally,-0.2
abolish,-0.2
abolished,-0.2
abolishes,-0.2
abolishing,-0.2
abrogate,-0.2
abrogated,-0.2
abrogates,-0.2
abrogating,-0.2
abrogation,-0.2
abrogations,-0.2
abrupt,-0.2
abruptly,-0.2
abruptness,-0.2
absence,-0.2
absences,-0.2
absenteeism,-0.2
abuse,-0.2
abused,-0.2
abuses,-0.2
abusing,-0.2
abusive,-0.2
abusively,-0.2
abusiveness,-0.2
accident,-0.2
accidental,-0.2
accidentally,-0.2
accidents,-0.2
accusation,-0.2
accusations,-0.2
accuse,-0.2
accused,-0.2
accuses,-0.2
accusing,-0.2
acquiesce,-0.2
acquiesced,-0.2
acquiesces,-0.2
acquiescing,-0.2
acquit,-0.2
acquits,-0.2
acquittal,-0.2
acquittals,-0.2
acquitted,-0.2
acquitting,-0.2
adulterate,-0.2
adulterated,-0.2
adulterating,-0.2
adulteration,-0.2
adulterations,-0.2
adversarial,-0.2
adversaries,-0.2
adversary,-0.2
adverse,-0.2
adversely,-0.2
adversities,-0.2
adversity,-0.2
aftermath,-0.2
aftermaths,-0.2
against,-0.2
aggravate,-0.2
aggravated,-0.2
aggravates,-0.2
aggravating,-0.2
aggravation,-0.2
aggravations,-0.2
alerted,-0.2
alerting,-0.2
alienate,-0.2
alienated,-0.2
alienates,-0.2
alienating,-0.2
alienation,-0.2
alienations,-0.2
allegation,-0.2
allegations,-0.2
allege,-0.2
alleged,-0.2
allegedly,-0.2
alleges,-0.2
alleging,-0.2
annoy,-0.2
annoyance,-0.2
annoyances,-0.2
annoyed,-0.2
annoying,-0.2
annoys,-0.2
annul,-0.2
annulled,-0.2
annulling,-0.2
annulment,-0.2
annulments,-0.2
annuls,-0.2
